job_id,position,study_id,status,participant,iteration,level,title,Module,Sound1,Sound2,timestamp,aborted_trial,trial_correct,Position_Target,participant_name,response_to_first,time_rewardfortouch,response_time_delay_1,response_time_delay_2
1297,13,13,pending,099550000003293902,2,1,OMMTask4_4,Module1,Avg16.wav,Coo_08_75.wav,2023-08-16 16:38:17,0,1,1,RACAILLE,1,NA,578,NA
1315,31,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_12.wav,2023-08-16 16:39:26,0,1,1,RACAILLE,1,NA,572,NA
1333,49,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_16_25.wav,2023-08-16 16:39:33,0,1,1,RACAILLE,1,NA,551,NA
1296,12,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_08_50.wav,Avg16.wav,2023-08-16 16:39:40,0,1,2,RACAILLE,0,1932888631,1000,201
1287,3,13,pending,099550000003293902,2,1,OMMTask4_4,Module3,Avg16.wav,Coo_08_50.wav,2023-08-16 16:39:49,0,1,1,RACAILLE,1,NA,459,NA
1309,25,13,pending,099550000003293902,2,1,OMMTask4_4,Module3,Avg16.wav,Coo_12_25.wav,2023-08-16 16:39:55,1,0,1,RACAILLE,0,NA,1000,1000
1309,25,13,pending,099550000003293902,3,1,OMMTask4_4,Module3,Avg16.wav,Coo_12_25.wav,2023-08-16 16:40:00,0,1,1,RACAILLE,1,NA,983,1000
1345,61,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_16_75.wav,2023-08-16 16:41:04,0,1,1,RACAILLE,1,NA,568,NA
1337,53,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Avg16.wav,Coo_16_75.wav,2023-08-16 16:41:09,0,1,1,RACAILLE,1,NA,599,NA
1334,50,13,pending,099550000003293902,2,1,OMMTask4_4,Module 2,Coo_16_25.wav,Avg16.wav,2023-08-16 16:41:13,0,0,2,RACAILLE,1,1628079,615,221
